J043736-295405,    69.40246,   -29.90147,   230.26648,   -40.74230,   1124.77,     38.20,     34.10,      0.30,    0.0303,    0.0011,        1,    -43.4450,      0.2772,     17.20,        1,     16.00,       -1,    953.27,     13.25,      9.40,      2.10,    0.0099,    0.0022,        1,    -33.7039,      5.4703,     -0.33,      0.05,      0.33,      0.07,     -0.70,      3.05,     -5.91,      3.33,     -5.21,      4.51,     21.90,       33,      1.3280,     12.52,      0.02,     47.40,     11.61,      0.02,     50.00,      9.03,      0.03,     41.30
J043300-295613,    68.25158,   -29.93694,   230.05385,   -41.72754,   1116.89,     36.40,     63.66,      0.30,    0.0570,    0.0019,        1,    -89.5095,      0.1395,     37.00,        1,     18.00,       -1,    634.77,     11.82,     45.42,      2.03,    0.0716,    0.0035,        1,     53.2506,      1.1876,     -1.14,      0.05,      1.26,      0.07,     16.00,      1.46,     22.61,      0.73,      6.61,      1.63,     18.40,       33,            ,          ,          ,          ,          ,          ,          ,          ,          ,          
J045514-300647,    73.80962,   -30.11311,   231.56537,   -37.05620,   3446.27,    107.60,    140.08,      0.32,    0.0406,    0.0013,        1,    -83.8585,      0.0674,     61.10,        1,     17.00,       -1,   2100.51,     10.75,    101.83,      1.93,    0.0485,    0.0010,        1,    -89.8678,      0.5400,     -1.00,      0.04,      1.19,      0.04,      1.40,      1.22,      3.65,      0.33,      2.25,      1.26,     21.90,       31,            ,     13.94,      0.03,     41.20,     13.47,      0.03,     37.90,     11.17,      0.11,     10.20
J001035-302745,     2.64867,   -30.46275,    10.08143,   -80.45551,    347.27,      9.50,      2.87,      0.31,    0.0083,    0.0009,        1,     62.0097,      3.1054,     17.40,       -1,     15.00,       -1,    598.41,     12.21,      0.75,      4.03,    0.0082,    0.0067,       -1,            ,            ,      1.10,      0.05,      0.99,      0.00,          ,          ,          ,          ,          ,          ,          ,         ,            ,     14.80,      0.03,     33.70,     13.78,      0.04,     30.60,     10.75,      0.10,     11.00
J235935-313341,   359.89780,   -31.56164,     8.40692,   -77.87329,    350.48,     10.40,      5.21,      0.29,    0.0149,    0.0009,        1,    -45.4939,      1.6462,     18.10,       -1,     16.00,       -1,    799.86,     14.64,      4.21,      1.86,    0.0065,    0.0023,       -1,            ,            ,      1.66,      0.05,      0.44,      0.00,          ,          ,          ,          ,          ,          ,          ,         ,      0.9903,     14.58,      0.03,     36.80,     13.55,      0.03,     33.90,     10.59,      0.09,     12.10
J001259-395425,     3.24979,   -39.90714,   332.45776,   -74.93929,    493.60,     17.40,     12.24,      0.31,    0.0248,    0.0011,        1,    -66.5239,      0.7239,     14.40,        1,     17.00,       -1,    896.93,     10.68,      2.48,      1.92,    0.0056,    0.0021,       -1,            ,            ,      1.20,      0.05,      0.22,      0.00,          ,          ,          ,          ,          ,          ,          ,         ,            ,     13.81,      0.02,     44.50,     12.78,      0.02,     44.70,      9.89,      0.04,     26.10
J000020-322059,     0.08471,   -32.34972,     4.64173,   -77.75222,    520.90,     15.60,      1.16,      0.31,    0.0022,    0.0006,        1,    -14.6659,      7.3172,     19.50,       -1,     16.00,       -1,    541.94,     12.32,      3.31,      1.95,    0.0090,    0.0036,       -1,            ,            ,      0.08,      0.05,      4.05,      0.00,          ,          ,          ,          ,          ,          ,          ,         ,            ,     14.81,      0.03,     34.30,     13.46,      0.03,     34.80,     10.20,      0.07,     16.10
J010403-395023,    16.01592,   -39.83972,   292.08127,   -77.02134,    850.21,     24.10,    102.35,      0.35,    0.1204,    0.0034,        1,     85.2145,      0.0925,     54.60,        1,     19.00,       -1,    521.99,     16.00,     57.25,      1.78,    0.1097,    0.0048,        1,     57.9738,      0.8412,     -0.98,      0.06,      0.91,      0.05,     13.30,      0.98,     16.54,      0.51,      3.24,      1.10,      5.50,       27,      0.1076,     13.86,      0.03,     43.20,     13.68,      0.03,     34.20,     12.56,          ,      0.40
J001217-332157,     3.07483,   -33.36606,   354.11316,   -79.50380,    857.65,     25.50,     22.30,      0.31,    0.0260,    0.0009,        1,    -82.4367,      0.4102,     19.00,       -1,     18.00,       -1,    507.93,     10.39,     11.37,      1.60,    0.0224,    0.0032,        1,     68.9805,      3.9227,     -1.06,      0.05,      0.86,      0.13,     14.10,      4.27,     17.35,      2.39,      3.25,      4.90,      4.70,       36,            ,          ,          ,          ,          ,          ,          ,          ,          ,          
J010925-344715,    17.35683,   -34.78758,   277.33636,   -81.42731,   1020.57,     30.60,      8.80,      0.24,    0.0086,    0.0003,        1,     -8.6207,      0.7808,     18.50,       -1,     17.00,       -1,    627.05,     13.03,      6.99,      1.73,    0.0111,    0.0028,        1,     -9.4064,      6.8684,     -0.98,      0.05,      1.29,      0.33,      5.90,      7.93,      0.48,      4.20,     -5.42,      8.97,      4.10,       36,            ,     15.71,      0.04,     26.30,     15.37,      0.08,     13.00,     12.10,          ,      1.50
J010509-381057,    16.28888,   -38.18256,   289.19760,   -78.57740,   1269.37,     41.10,     87.34,      0.30,    0.0688,    0.0022,        1,     64.2203,      0.1013,     34.10,        1,     15.00,       -1,    771.98,     11.15,     37.43,      1.78,    0.0485,    0.0024,        1,     63.2453,      1.3131,     -1.00,      0.05,      0.70,      0.04,      0.60,      1.10,      0.59,      0.80,     -0.01,      1.36,      6.30,       27,            ,          ,          ,          ,          ,          ,          ,          ,          ,          
J001524-380434,     3.85146,   -38.07633,   335.31451,   -76.69500,   1285.18,     43.60,     17.08,      0.25,    0.0133,    0.0005,        1,    -13.6426,      0.4326,     20.90,        1,     19.00,       -1,    715.75,      9.98,     16.27,      1.57,    0.0227,    0.0022,        1,    -23.0820,      2.7319,     -1.18,      0.05,      1.71,      0.18,    -12.30,      8.42,      5.73,      1.68,     18.03,      8.58,      7.60,       27,            ,     15.52,      0.04,     27.00,     14.95,      0.06,     17.00,      9.55,      0.04,     29.30
J003826-385946,     9.61204,   -38.99617,   314.98303,   -77.82650,   1637.01,     48.90,     26.06,      0.32,    0.0159,    0.0005,        1,    -83.1072,      0.3621,     18.10,       -1,     16.00,       -1,   1002.91,      9.69,     -0.34,      7.55,    0.0056,    0.0075,       -1,            ,            ,     -0.99,      0.04,      0.35,      0.00,          ,          ,          ,          ,          ,          ,          ,         ,      0.5931,     13.04,      0.05,     20.30,     12.12,      0.04,     25.40,      9.64,      0.05,     20.60
J004441-353032,    11.17279,   -35.50911,   312.25732,   -81.49663,   2595.37,     76.80,     39.61,      0.42,    0.0153,    0.0005,        1,     12.2603,      0.2755,     15.70,       -1,     14.00,       -1,   1942.90,     10.83,     18.70,      1.49,    0.0096,    0.0008,        1,     -0.5186,      2.4555,     -0.58,      0.04,      0.63,      0.05,     18.90,      4.27,      7.76,      1.50,    -11.14,      4.53,      7.90,       28,            ,     16.85,      0.09,     11.60,     15.61,      0.11,     10.10,     10.73,      0.10,     10.40
J015254-375118,    28.22508,   -37.85522,   256.49811,   -73.21736,    632.93,     18.60,     23.91,      0.27,    0.0378,    0.0012,        1,     26.3997,      0.3234,     18.80,       -1,     17.00,       -1,    444.19,     11.40,     28.03,      1.45,    0.0631,    0.0036,        1,    -87.3741,      1.6109,     -0.71,      0.06,      1.67,      0.11,     62.00,      2.93,     69.08,      1.00,      7.08,      3.09,      4.70,       31,            ,     15.83,      0.05,     24.00,     15.58,      0.09,     11.40,     12.27,          ,      1.60
